,tweet_id,text,favorite_count,retweet_count,created_at
72,1599402097828458496,"How is artificial intelligence and machine learning changing marketing? Via @cspenn

#gmu315 #gmu316 

https://t.co/HRx1TbzoPX",0,1,Sun Dec 04 13:55:50 +0000 2022
73,1599402013799768064,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:55:30 +0000 2022
74,1599401950415835137,"#NewProfilePic #Lensa 

Artificial Intelligence Era. https://t.co/CVc2paXoI0",0,0,Sun Dec 04 13:55:15 +0000 2022
75,1599401940609536002,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:55:12 +0000 2022
76,1599401923807150080,"RT @Grepnetics: DBoss image created using Artificial intelligence.

Just imagine Dboss in the role of  forest tribe, and saving all the ani…",0,71,Sun Dec 04 13:55:08 +0000 2022
77,1599401880890658817,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:54:58 +0000 2022
78,1599401852029702144,RT @karan_samurai: With so many new crypto launches happening everyday we find that some can instantly socially trend and grow their holder…,0,12,Sun Dec 04 13:54:51 +0000 2022
79,1599401737642967043,"RT @Dboss_elite_fc: DBoss image created using Artificial intelligence.

Just imagine Dboss in the role of  forest tribe, and saving all the…",0,51,Sun Dec 04 13:54:24 +0000 2022
80,1599401578292969473,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 13:53:46 +0000 2022
81,1599401538728124416,"RT @DylanLeClair_: Seeing what can already be done with artificial intelligence, I believe it will eventually end up displacing hundreds of…",0,97,Sun Dec 04 13:53:36 +0000 2022
82,1599401504686809089,"RT @ninaing648: 【Exclusive】The report points out,“（We will）cultivate new growth engines such as next-generation information technology,arti…",0,1,Sun Dec 04 13:53:28 +0000 2022
83,1599401448931962881,Introduction to Computer Science &amp; Artificial Intelligence in Medicine 🤓 I’m so excited 😆,1,0,Sun Dec 04 13:53:15 +0000 2022
84,1599401430804140032,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:53:11 +0000 2022
85,1599401344556679168,"@DrKUdofa Peter Obi's Manifesto is the most Technologically &amp; scientifically advanced manifesto.

He is talking Blo… https://t.co/MrMl2tEqcn",6,1,Sun Dec 04 13:52:50 +0000 2022
86,1599401306309152769,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:52:41 +0000 2022
87,1599401273672859649,@Zurterz @jordanbpeterson @elonmusk @Google I think using artificial intelligence search engines is very possible t… https://t.co/bwoOvvSTDh,0,0,Sun Dec 04 13:52:33 +0000 2022
88,1599401197840093185,"Artificial Intelligence Upscales and Colorizes Footage of New York in the 1930s, Harlem and Little Italy Included… https://t.co/eCGreJy45g",0,0,Sun Dec 04 13:52:15 +0000 2022
89,1599401126386106368,"RT @Dboss_elite_fc: DBoss image created using Artificial intelligence.

Just imagine Dboss in the role of  forest tribe, and saving all the…",0,51,Sun Dec 04 13:51:58 +0000 2022
90,1599401077991870464,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:51:47 +0000 2022
91,1599401058773905409,RT @CMichaelGibson: This artificial intelligence chat bot rewriting Bohemian Rhapsody is #genius #ChatGPT,0,6,Sun Dec 04 13:51:42 +0000 2022
92,1599401010652667905,"RT @filmycorner9: DBoss image created using Artificial intelligence.

What if Dboss in the role of Saving the animals in the forest ?

#Dbo…",0,45,Sun Dec 04 13:51:31 +0000 2022
93,1599400995167277057,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:51:27 +0000 2022
94,1599400981695012864,"RT @IainLJBrown: Artificial intelligence fights for acceptance in health care - MJA Insight

Read more here: https://t.co/TYW4cAkDhK

#Arti…",0,1,Sun Dec 04 13:51:24 +0000 2022
95,1599400973587341312,"Artificial intelligence fights for acceptance in health care - MJA Insight

Read more here: https://t.co/TYW4cAkDhK… https://t.co/55aiYKINsb",1,1,Sun Dec 04 13:51:22 +0000 2022
96,1599400970076708865,"COLUMN: Is it still 'art' with artificial intelligence? - OrilliaMatters

Read more here: https://t.co/aFiQ9S3P5H… https://t.co/cYUOBK1UPy",1,0,Sun Dec 04 13:51:21 +0000 2022
97,1599400940917833729,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:51:14 +0000 2022
98,1599400843916488704,@Komraa @PresidentJose3 @yazmati @Crusher0101 @thomasrice_au @BombshellGold @Lozbine @caribbeanredd @hankgreen Any… https://t.co/HG8jkpUo53,0,0,Sun Dec 04 13:50:51 +0000 2022
99,1599400802426458112,"RT @Grepnetics: DBoss image created using Artificial intelligence.

Just imagine Dboss in the role of  forest tribe, and saving all the ani…",0,71,Sun Dec 04 13:50:41 +0000 2022
100,1599400733492711424,"RT @TDataScience: In a follow-up post on geospatial analysis using PyTorch's TorchGeo library, Maurício Cordeiro walks us through the proce…",0,3,Sun Dec 04 13:50:24 +0000 2022
101,1599400673673547776,@AlmaHermosa13 The artificial Intelligence that has been drawing these pictures. It’s uncanny.,0,0,Sun Dec 04 13:50:10 +0000 2022
102,1599400333196902404,What is Blockchain? #blockchain #crypto #OriginStamp https://t.co/ZgulIpBehw,0,0,Sun Dec 04 13:48:49 +0000 2022
103,1599400324657164290,RT @AeroSpaceHF: A novel artificial intelligence blood testing technology developed and used by Johns Hopkins Kimmel Cancer Center to succe…,0,1,Sun Dec 04 13:48:47 +0000 2022
104,1599400299457675264,RT @blueskykites: When artificial intelligence becomes sentient?  #AI #autonomy #robots #Robotics #Robotech @SelfAwareROOMBA @TeslaAIBot @W…,0,9,Sun Dec 04 13:48:41 +0000 2022
105,1599400227639037954,RT @drboycewatkins1: This artificial intelligence has gotten out of control! https://t.co/IWNoVTdmgj,0,223,Sun Dec 04 13:48:24 +0000 2022
106,1599400182030176259,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:48:13 +0000 2022
107,1599400094356635649,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:47:52 +0000 2022
108,1599400050433855488,RT @KirkDBorne: Artificial Intelligence with #Python Cookbook — recipes for applying #AI algorithms and #DeepLearning techniques using #Ten…,0,83,Sun Dec 04 13:47:42 +0000 2022
109,1599400027167723520,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:47:36 +0000 2022
110,1599399872343543808,"@Alyssa_Milano “Artificial Intelligence” , how fitting.",0,0,Sun Dec 04 13:46:59 +0000 2022
111,1599399841326456832,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:46:52 +0000 2022
112,1599399820514721793,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:46:47 +0000 2022
113,1599399815951323136,Artificial Intelligence Fan Account,2,0,Sun Dec 04 13:46:46 +0000 2022
114,1599399759315619847,"RT @MrOmodulus: 4/ Do we trust our current leaders to deliver us fair and equal access to:
1.Anti Ageing technology
2.Artificial intelligen…",0,15,Sun Dec 04 13:46:32 +0000 2022
115,1599399757122015232,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:46:32 +0000 2022
116,1599399685617520641,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:46:15 +0000 2022
117,1599399663353765890,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:46:09 +0000 2022
118,1599399524132605952,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:45:36 +0000 2022
119,1599399482046951424,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:45:26 +0000 2022
120,1599399450598047744,"#ArtificialIntelligence Software Market Is Booming Worldwide | Albert Technologies, #Google, IBM, Microsoft, SA… https://t.co/lUWBNJ8YCq",0,0,Sun Dec 04 13:45:19 +0000 2022
121,1599399441554735104,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:45:16 +0000 2022
122,1599399414317174784,"Artificial Intelligence Upscales and Colorizes Footage of New York in the 1930s, Harlem and Little Italy Included… https://t.co/R8jCxKebYg",0,0,Sun Dec 04 13:45:10 +0000 2022
123,1599399409086709760,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 13:45:09 +0000 2022
124,1599399384000892929,RT @Datascience__: Artificial intelligence for marine monitoring: part I | CMEMS https://t.co/jvTiTXm6YK  #ArtificialIntelligence,0,1,Sun Dec 04 13:45:03 +0000 2022
125,1599399124238934016,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 13:44:01 +0000 2022
126,1599399108665438209,"RT @janhjensen: More than 10% of papers in the physical sciences now uses AI 
https://t.co/qHC11fM1bG 
HT @skdh https://t.co/ZYnKxqjMTT",0,3,Sun Dec 04 13:43:57 +0000 2022
127,1599399089891733504,@brandee Maybe artificial intelligence just likes artificially big boobs...,1,0,Sun Dec 04 13:43:53 +0000 2022
128,1599399060347445248,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:43:46 +0000 2022
129,1599399023844397056,"RT @atif10061990: Artificial Intelligence Overview 🤖

#BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats #…",0,11,Sun Dec 04 13:43:37 +0000 2022
130,1599399004164751361,"Artificial Intelligence in Diagnostics Market 2022: Comprehensive Study by Top Key Players Aidoc Medical, AliveCor,… https://t.co/cZcV3b3NCO",0,0,Sun Dec 04 13:43:32 +0000 2022
131,1599398976868208640,"RT @destiny_thememe: For someone who is defending artificial intelligence generated images/text, there isnt a lot of intelligence happening…",0,30,Sun Dec 04 13:43:26 +0000 2022
132,1599398895255425026,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:43:06 +0000 2022
133,1599398890033537025,RT @aicprime: The integrity of the AICPrime private blockchain software together with the POA algorithm is used to verify the identity of t…,0,69,Sun Dec 04 13:43:05 +0000 2022
134,1599398865790242817,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 13:42:59 +0000 2022
135,1599398854159237120,"RT @renderuntocaesa: We all know that eventually Artificial Intelligence will decide morality for us.

With a team of researchers I'm worki…",0,2,Sun Dec 04 13:42:56 +0000 2022
136,1599398817212039168,RT @MemeingBitcoin: Artificial intelligence ends 14 year long debate https://t.co/pSHvOmGkW2,0,216,Sun Dec 04 13:42:48 +0000 2022
137,1599398682679394305,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 13:42:15 +0000 2022
138,1599398678736896000,RT @techeblog: This is like taking a time machine back to 1930s #NewYork. #artificialintelligence #technologynews https://t.co/uQhj7RUIPY,0,9,Sun Dec 04 13:42:15 +0000 2022
139,1599398673208594432,@jordanbpeterson Nice eighth grade essay format. Something tells me artificial intelligence isn’t really thinking f… https://t.co/hNnwfeavOq,0,0,Sun Dec 04 13:42:13 +0000 2022
140,1599398644351803392,RT @Rainmaker1973: “Abandoned Civilization” is a collection of nine separate paintings cobbled together to resemble the famous Mona Lisa —…,0,537,Sun Dec 04 13:42:06 +0000 2022
141,1599398618720456705,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 13:42:00 +0000 2022
